date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,policy
3/4/2020,NC,,,0,,,,,0,,,,0,,,,,,1,,0,0,,,,,,,,0,,0,,,,,,0,,0,0
3/5/2020,NC,,,0,,,,,0,,,,0,,,,,,1,,0,0,,,,,,,,0,,0,,,,,,0,,0,0
3/6/2020,NC,,,0,,,,,0,,,,0,,,,,,2,,1,0,,,,,,,,0,,0,,,,,,0,,0,0
3/7/2020,NC,,,0,,,,,0,,,,0,,,,,,2,,0,0,,,,,,,,0,,0,,,,,,0,,0,0
3/8/2020,NC,,,0,,,,,0,,,,0,,,,,,2,,0,0,,,,,,,,0,,0,,,,,,0,,0,0
3/9/2020,NC,,,0,,,,,0,,,,0,,,,,,2,,0,0,,,,,,,,0,,0,,,,,,0,,0,0
3/10/2020,NC,,,0,,,,,0,,,,0,,,,,,7,,5,0,,,,,,,,0,,0,,,,,,0,,0,0
3/11/2020,NC,,,0,,,,,0,,,,0,,,,,,7,,0,0,,,,,,,,0,,0,,,,,,0,,0,0
3/12/2020,NC,,,0,,,,,0,,,,0,,,,,,12,,5,0,,,,,,,,0,,0,,,,,,0,,0,0
3/13/2020,NC,,,0,,,,,0,,,,0,,,,,,15,,3,0,,,,,,,,0,,0,,,,,,0,,0,0
3/14/2020,NC,,,0,,,,,0,,,,0,,,,,,23,,8,0,,,,,,,,0,,0,,,,,,0,,0,0
3/15/2020,NC,,,0,,,,,0,,,,0,,,,,,32,,9,0,,,,,,,,0,,0,,,,,,0,,0,0
3/16/2020,NC,0,,0,,,,,0,,,,0,,,,,,33,,1,0,,,,,,,,0,,0,,,,,,0,,0,0
3/17/2020,NC,0,,0,,,,,0,,,,0,,,,,,40,,7,0,,,,,,,,0,936,936,,,,,,0,936,936,0
3/18/2020,NC,0,,0,,,,,0,,,,0,,,,,,63,,23,0,,,,,,,,0,1231,295,,,,,,0,1231,295,0
3/19/2020,NC,0,,0,,,,,0,,,,0,,,,,,97,,34,0,,,,,,,,0,1436,205,,,,,,0,1436,205,0
3/20/2020,NC,0,,0,,,,,0,,,,0,,,,,,137,,40,0,,,,,,,,0,3132,1696,,,,,,0,3132,1696,0
3/21/2020,NC,0,,0,,,,,0,,,,0,,,,,,184,,47,0,,,,,,,,0,4075,943,,,,,,0,4075,943,0
3/22/2020,NC,0,,0,,,,,0,,,,0,,,,,,255,,71,0,,,,,,,,0,6267,2192,,,,,,0,6267,2192,0
3/23/2020,NC,0,,0,,,,,0,,,,0,,,,,,297,,42,0,,,,,,,,0,7656,1389,,,,,,0,7656,1389,0
3/24/2020,NC,0,,0,,,,,0,,,,0,,,,,,398,,101,0,,,,,,,,0,9819,2163,,,,,,0,9819,2163,0
3/25/2020,NC,1,,1,,,,29,0,,,,0,,,,,,504,,106,0,,,,,,,,0,10348,529,,,,,,0,10348,529,0
3/26/2020,NC,2,,1,,,,29,0,,,,0,,,,,,636,,132,0,,,,,,,,0,12794,2446,,,,,,0,12794,2446,0
3/27/2020,NC,3,,1,,,,77,0,,,,0,,,,,,763,,127,0,,,,,,,,0,15587,2793,,,,,,0,15587,2793,0
3/28/2020,NC,4,,1,,,,87,0,,,,0,,,,,,935,,172,0,,,,,,,,0,18254,2667,,,,,,0,18254,2667,0
3/29/2020,NC,4,,0,,,,91,0,,,,0,,,,,,1040,,105,0,,,,,,,,0,21164,2910,,,,,,0,21164,2910,0
3/30/2020,NC,6,,2,,,,137,0,,,,0,,,,,,1307,,267,0,,,,,,,,0,22802,1638,,,,,,0,22802,1638,1
3/31/2020,NC,8,,2,,,,157,0,,,,0,,,,,,1498,,191,0,,,,,,,,0,24884,2082,,,,,,0,24884,2082,1
4/1/2020,NC,10,,2,,,,204,0,,,,0,,,,,,1584,,86,0,,,,,,,,0,27671,2787,,,,,,0,27671,2787,1
4/2/2020,NC,16,,6,,,,184,0,,,,0,,,,,,1857,,273,0,,,,,,,,0,31106,3435,,,,,,0,31106,3435,1
4/3/2020,NC,19,,3,,,,184,0,,,,0,,,,,,2093,,236,0,,,,,,,,0,33989,2883,,,,,,0,33989,2883,1
4/4/2020,NC,24,,5,,,,271,0,,,,0,,,,,,2402,,309,0,,,,,,,,0,37393,3404,,,,,,0,37393,3404,1
4/5/2020,NC,31,,7,,,,261,0,,,,0,,,,,,2585,,183,0,,,,,,,,0,45022,7629,,,,,,0,45022,7629,1
4/6/2020,NC,33,,2,,,,270,0,,,,0,,,,,,2870,,285,0,,,,,,,,0,46365,1343,,,,,,0,46365,1343,1
4/7/2020,NC,46,,13,,,,354,0,,,,0,,,,,,3221,,351,0,,,,,,,,0,47217,852,,,,,,0,47217,852,1
4/8/2020,NC,53,,7,,,,386,0,,,,0,,,,,,3426,,205,0,,,,,,,,0,48130,913,,,,,,0,48130,913,1
4/9/2020,NC,65,,12,,,,398,0,,,,0,,,,,,3651,,225,0,,,,,,,,0,50561,2431,,,,,,0,50561,2431,1
4/10/2020,NC,74,,9,,,,423,0,,,,0,,,,,,3908,,257,0,,,,,,,,0,55823,5262,,,,,,0,55823,5262,1
4/11/2020,NC,80,,6,,,,362,0,,,,0,,,,,,4312,,404,0,,,,,,,,0,66034,10211,,,,,,0,66034,10211,1
4/12/2020,NC,81,,1,,,,331,0,,,,0,,,,,,4520,,208,0,,,,,,,,0,68909,2875,,,,,,0,68909,2875,1
4/13/2020,NC,86,,5,,,,313,0,,,,0,,,,,,4816,,296,0,,,,,,,,0,76908,7999,,,,,,0,76908,7999,1
4/14/2020,NC,108,,22,,,,418,0,,,,0,,,,,,5024,,208,0,,,,,,,,0,78206,1298,,,,,,0,78206,1298,1
4/15/2020,NC,117,,9,,,,431,0,,,,0,,,,,,5123,,99,0,,,,,,,,0,80174,1968,,,,,,0,80174,1968,1
4/16/2020,NC,131,,14,,,,452,0,,,,0,,,,,,5465,,342,0,,,,,,,,0,83389,3215,,,,,,0,83389,3215,1
4/17/2020,NC,152,,21,,,,429,0,,,,0,,,,,,5859,,394,0,,,,,,,,0,86965,3576,,,,,,0,86965,3576,1
4/18/2020,NC,164,,12,,,,388,0,,,,0,,,,,,6140,,281,0,,,,,,,,0,89437,2472,,,,,,0,89437,2472,1
4/19/2020,NC,172,,8,,,,465,0,,,,0,,,,,,6493,,353,0,,,,,,,,0,93037,3600,,,,,,0,93037,3600,1
4/20/2020,NC,179,,7,,,,373,0,,,,0,,,,,,6764,,271,0,,,,,,,,0,95629,2592,,,,,,0,95629,2592,1
4/21/2020,NC,213,,34,,,,427,0,,,,0,,,,,,6951,,187,0,,,,,,,,0,96402,773,,,,,,0,96402,773,1
4/22/2020,NC,242,,29,,,,434,0,,,,0,,,,,,7220,,269,0,,,,,,,,0,100922,4520,,,,,,0,100922,4520,1
