,date,state,death,deathConfirmed,deathIncrease,hospitalizedCurrently,inIcuCurrently,positive,positiveCasesViral,positiveIncrease,totalTestsViral,policy
0,3/4/2020,NC,0.0,0.0,0,0.0,0.0,1,0.0,0,0.0,0
1,3/5/2020,NC,0.0,0.0,0,0.0,0.0,1,0.0,0,0.0,0
2,3/6/2020,NC,0.0,0.0,0,0.0,0.0,2,0.0,1,0.0,0
3,3/7/2020,NC,0.0,0.0,0,0.0,0.0,2,0.0,0,0.0,0
4,3/8/2020,NC,0.0,0.0,0,0.0,0.0,2,0.0,0,0.0,0
5,3/9/2020,NC,0.0,0.0,0,0.0,0.0,2,0.0,0,0.0,0
6,3/10/2020,NC,0.0,0.0,0,0.0,0.0,7,0.0,5,0.0,0
7,3/11/2020,NC,0.0,0.0,0,0.0,0.0,7,0.0,0,0.0,0
8,3/12/2020,NC,0.0,0.0,0,0.0,0.0,12,0.0,5,0.0,0
9,3/13/2020,NC,0.0,0.0,0,0.0,0.0,15,0.0,3,0.0,0
10,3/14/2020,NC,0.0,0.0,0,0.0,0.0,23,0.0,8,0.0,0
11,3/15/2020,NC,0.0,0.0,0,0.0,0.0,32,0.0,9,0.0,0
12,3/16/2020,NC,0.0,0.0,0,0.0,0.0,33,0.0,1,0.0,0
13,3/17/2020,NC,0.0,0.0,0,0.0,0.0,40,0.0,7,936.0,0
14,3/18/2020,NC,0.0,0.0,0,0.0,0.0,63,0.0,23,1231.0,0
15,3/19/2020,NC,0.0,0.0,0,0.0,0.0,97,0.0,34,1436.0,0
16,3/20/2020,NC,0.0,0.0,0,0.0,0.0,137,0.0,40,3132.0,0
17,3/21/2020,NC,0.0,0.0,0,0.0,0.0,184,0.0,47,4075.0,0
18,3/22/2020,NC,0.0,0.0,0,0.0,0.0,255,0.0,71,6267.0,0
19,3/23/2020,NC,0.0,0.0,0,0.0,0.0,297,0.0,42,7656.0,0
20,3/24/2020,NC,0.0,0.0,0,0.0,0.0,398,0.0,101,9819.0,0
21,3/25/2020,NC,1.0,0.0,1,29.0,0.0,504,0.0,106,10348.0,0
22,3/26/2020,NC,2.0,0.0,1,29.0,0.0,636,0.0,132,12794.0,0
23,3/27/2020,NC,3.0,0.0,1,77.0,0.0,763,0.0,127,15587.0,0
24,3/28/2020,NC,4.0,0.0,1,87.0,0.0,935,0.0,172,18254.0,0
25,3/29/2020,NC,4.0,0.0,0,91.0,0.0,1040,0.0,105,21164.0,0
26,3/30/2020,NC,6.0,0.0,2,137.0,0.0,1307,0.0,267,22802.0,1
27,3/31/2020,NC,8.0,0.0,2,157.0,0.0,1498,0.0,191,24884.0,1
28,4/1/2020,NC,10.0,0.0,2,204.0,0.0,1584,0.0,86,27671.0,1
29,4/2/2020,NC,16.0,0.0,6,184.0,0.0,1857,0.0,273,31106.0,1
30,4/3/2020,NC,19.0,0.0,3,184.0,0.0,2093,0.0,236,33989.0,1
31,4/4/2020,NC,24.0,0.0,5,271.0,0.0,2402,0.0,309,37393.0,1
32,4/5/2020,NC,31.0,0.0,7,261.0,0.0,2585,0.0,183,45022.0,1
33,4/6/2020,NC,33.0,0.0,2,270.0,0.0,2870,0.0,285,46365.0,1
34,4/7/2020,NC,46.0,0.0,13,354.0,0.0,3221,0.0,351,47217.0,1
35,4/8/2020,NC,53.0,0.0,7,386.0,0.0,3426,0.0,205,48130.0,1
36,4/9/2020,NC,65.0,0.0,12,398.0,0.0,3651,0.0,225,50561.0,1
37,4/10/2020,NC,74.0,0.0,9,423.0,0.0,3908,0.0,257,55823.0,1
38,4/11/2020,NC,80.0,0.0,6,362.0,0.0,4312,0.0,404,66034.0,1
39,4/12/2020,NC,81.0,0.0,1,331.0,0.0,4520,0.0,208,68909.0,1
40,4/13/2020,NC,86.0,0.0,5,313.0,0.0,4816,0.0,296,76908.0,1
41,4/14/2020,NC,108.0,0.0,22,418.0,0.0,5024,0.0,208,78206.0,1
42,4/15/2020,NC,117.0,0.0,9,431.0,0.0,5123,0.0,99,80174.0,1
43,4/16/2020,NC,131.0,0.0,14,452.0,0.0,5465,0.0,342,83389.0,1
44,4/17/2020,NC,152.0,0.0,21,429.0,0.0,5859,0.0,394,86965.0,1
45,4/18/2020,NC,164.0,0.0,12,388.0,0.0,6140,0.0,281,89437.0,1
46,4/19/2020,NC,172.0,0.0,8,465.0,0.0,6493,0.0,353,93037.0,1
47,4/20/2020,NC,179.0,0.0,7,373.0,0.0,6764,0.0,271,95629.0,1
48,4/21/2020,NC,213.0,0.0,34,427.0,0.0,6951,0.0,187,96402.0,1
49,4/22/2020,NC,242.0,0.0,29,434.0,0.0,7220,0.0,269,100922.0,1
50,4/23/2020,NC,253.0,0.0,11,486.0,0.0,7608,0.0,388,108718.0,1
51,4/24/2020,NC,269.0,0.0,16,477.0,0.0,8052,0.0,444,115124.0,1
52,4/25/2020,NC,289.0,0.0,20,456.0,0.0,8623,0.0,571,119912.0,1
53,4/26/2020,NC,299.0,0.0,10,451.0,0.0,8830,0.0,207,125210.0,1
54,4/27/2020,NC,306.0,0.0,7,473.0,0.0,9142,0.0,312,128195.0,1
55,4/28/2020,NC,342.0,0.0,36,463.0,0.0,9568,0.0,426,130329.0,1
56,4/29/2020,NC,354.0,0.0,12,551.0,0.0,9948,9948.0,380,134080.0,1
