CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6_Facial Coverings,H6_Flag,H6_Notes,H7_Vaccination policy,H7_Flag,H7_Notes,H8_Protection of elderly people,H8_Flag,H8_Notes,M1_Wildcard,M1_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay,date,deathIncrease
United States,USA,North Carolina,US_NC,STATE_WIDE,20200304,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,,,0,,,1,,0,,,,,,0,,,0,,,0,,,,,1,0,0,0,0,0,2.08,2.08,2.38,2.38,0,0,3/4/2020,0
United States,USA,North Carolina,US_NC,STATE_WIDE,20200305,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,,,0,,,1,,0,,,,,,0,,,0,,,0,,,,,1,0,0,0,0,0,2.08,2.08,2.38,2.38,0,0,3/5/2020,0
United States,USA,North Carolina,US_NC,STATE_WIDE,20200306,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,,,0,,,1,,0,,,,,,0,,,0,,,0,,,,,2,0,0,0,0,0,2.08,2.08,2.38,2.38,0,0,3/6/2020,0
United States,USA,North Carolina,US_NC,STATE_WIDE,20200307,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,,,0,,,1,,0,,,,,,0,,,0,,,0,,,,,2,0,0,0,0,0,2.08,2.08,2.38,2.38,0,0,3/7/2020,0
United States,USA,North Carolina,US_NC,STATE_WIDE,20200308,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,,,0,,,1,,0,,,,,,0,,,0,,,0,,,,,2,0,0,0,0,0,2.08,2.08,2.38,2.38,0,0,3/8/2020,0
United States,USA,North Carolina,US_NC,STATE_WIDE,20200309,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,,,0,,,1,,0,,,,,,0,,,0,,,0,,,,,7,0,0,0,0,0,2.08,2.08,2.38,2.38,0,0,3/9/2020,0
United States,USA,North Carolina,US_NC,STATE_WIDE,20200310,0,,"Currently, NC DHHS is not recommending pre-emptive school closures.    https://web.archive.org/web/20200622024724/https://governor.nc.gov/news/governor-cooper-declares-state-emergency-respond-coronavirus-covid-19  ",1,1,NC DHHS recommends that employers and employees use teleworking technologies to the greatest extent possible.    https://web.archive.org/web/20200622024724/https://governor.nc.gov/news/governor-cooper-declares-state-emergency-respond-coronavirus-covid-19,1,1,"NC DHHS recommends that organizers of mass gathering events that primarily draw high-risk persons, including those that attract older adults, should consider cancelling or postponing these events.    https://web.archive.org/web/20200622024724/https://governor.nc.gov/news/governor-cooper-declares-state-emergency-respond-coronavirus-covid-19",0,,,0,,,1,1,"NC DHHS recommends that people at high risk of severe illness from COVID-19 avoid large groups of people as much as possible. This includes gatherings such as concert venues, conventions, church services, sporting events, and crowded social events. People at high risk should also avoid cruise travel and non-essential air travel.      https://web.archive.org/web/20200622024724/https://governor.nc.gov/news/governor-cooper-declares-state-emergency-respond-coronavirus-covid-19  ",0,,,0,,0,,,0,,,,,,0,,,1,,0,,,,,,0,,,0,,,1,1,The Governor of North Carolina declaration of a state of emergency urges people over age 65 and medically fragile residents to avoid large gatherings.    Link:  https://web.archive.org/web/20200622024724/https://governor.nc.gov/news/governor-cooper-declares-state-emergency-respond-coronavirus-covid-19,,,7,0,12.96,12.96,23.81,23.81,11.46,11.46,13.1,13.1,0,0,3/10/2020,0
United States,USA,North Carolina,US_NC,STATE_WIDE,20200311,0,,,1,1,,1,1,,0,,,0,,,1,1,,0,,,0,,0,,,0,,,,,,2,1,"NCDHHS Division of Public Health adds Community Engagement Resources for public health officials with North Carolina's local health departments as print material and resource.    https://web.archive.org/web/20200724060828/https://www.nc.gov/covid-19/covid-19-updates#march-22-28,-2020 ",1,,0,,,,,,0,,,0,,,1,1,,,,9,0,24.07,24.07,38.1,38.1,17.71,17.71,20.24,20.24,0,0,3/11/2020,0
United States,USA,North Carolina,US_NC,STATE_WIDE,20200312,0,,,1,1,,1,1,,0,,,0,,,1,1,,0,,,0,,0,,,1,"Raleigh Water announced suspending water shutoffs from nonpayments, waiving late payment fees, and reconnecting accounts previously disconnected. These actions were continued per the Governor's Executive Order No. 124 and Exec. Order No. 142.    Link:  https://web.archive.org/web/20200801113214/https://raleighnc.gov/SupportPages/water-covid-19-information    Charlotte Water announced suspending water shutoffs from nonpayments and reconnected services that were shut off during that time. Adhered to Exec. Order No. 124 and extension per Exec. Order No. 142.    Link: https://web.archive.org/web/20200801113801/https://charlottenc.gov/Water/RatesBilling/Pages/PandemicCustomerAssistance.aspx",,,,,2,1,,1,,0,,,,,,0,,,0,,,1,1,,,,17,0,24.07,24.07,38.1,38.1,20.83,20.83,20.24,20.24,25,25,3/12/2020,0
United States,USA,North Carolina,US_NC,STATE_WIDE,20200313,0,,,1,1,,1,1,,0,,,0,,,1,1,,0,,,0,,0,,,1,"Both Durham Water and City of Asheville Water Resources announced stopping disconnecting residential water customers for nonpayment, which was further continued per Exec. Order No. 124 and extension per Exec. Order No. 142.  Links:  https://web.archive.org/web/20200801115657/https://www.ashevillenc.gov/news/city-of-asheville-to-temporarily-suspend-water-disconnections/  https://web.archive.org/web/20200801114833/https://durhamnc.gov/CivicAlerts.aspx?AID=2258  ",,,,,2,1,,1,,0,,,,,,0,,,0,,,1,1,,,,22,0,24.07,24.07,38.1,38.1,20.83,20.83,20.24,20.24,25,25,3/13/2020,0
