,0,1,2,3,4,5,6,7,8
0,0.13607,0.80903,0.57962,0.2581,0.80593,0.58281,0.3725,0.80989,0.58677
1,0.13591,0.80901,0.57963,0.25811,0.8059,0.58278,0.37249,0.80986,0.58678
2,0.13578,0.80903,0.57966,0.2581,0.80589,0.58277,0.37254,0.80986,0.58678
3,0.13607,0.80904,0.57957,0.25852,0.80591,0.58269,0.37252,0.80982,0.58675
4,0.13588,0.80903,0.57959,0.25811,0.80594,0.58276,0.37257,0.80984,0.58673
5,0.13566,0.80899,0.57962,0.25804,0.80592,0.58278,0.37247,0.80989,0.58676
6,0.1362,0.80902,0.57957,0.25787,0.8058,0.58285,0.3724,0.80983,0.58679
7,0.136,0.809,0.57963,0.25774,0.80579,0.58285,0.37234,0.80986,0.58685
8,0.13578,0.80901,0.57968,0.25746,0.80575,0.58292,0.37237,0.80982,0.58685
9,0.13621,0.80901,0.57964,0.25768,0.80574,0.58292,0.37243,0.80981,0.58682
10,0.13601,0.80902,0.57965,0.25763,0.80574,0.58289,0.37237,0.80981,0.58683
11,0.13586,0.809,0.57968,0.25759,0.80576,0.58287,0.37234,0.80984,0.58683
12,0.13634,0.80901,0.57963,0.25723,0.80577,0.58296,0.37239,0.8098,0.58683
13,0.13614,0.80901,0.57962,0.25756,0.80575,0.58287,0.37246,0.80974,0.58667
14,0.13594,0.809,0.57963,0.25753,0.80573,0.58284,0.37242,0.80979,0.58669
15,0.13619,0.80904,0.57958,0.25775,0.80573,0.58275,0.37236,0.80965,0.58663
16,0.13599,0.80903,0.5796,0.25778,0.80573,0.58276,0.37226,0.8097,0.58673
17,0.13577,0.80904,0.57965,0.25735,0.80569,0.58293,0.37232,0.80967,0.58676
18,0.13615,0.80906,0.57961,0.2579,0.80571,0.58287,0.37243,0.80973,0.58675
19,0.13593,0.80906,0.57963,0.25798,0.80575,0.58286,0.37249,0.80971,0.5867
20,0.1358,0.80904,0.57966,0.25804,0.80573,0.58284,0.37245,0.80974,0.58673
21,0.1361,0.80905,0.57964,0.25723,0.80566,0.58298,0.3725,0.80973,0.58673
22,0.13591,0.80902,0.57969,0.25792,0.80575,0.58286,0.37251,0.80976,0.58671
23,0.1357,0.80902,0.5797,0.25793,0.80578,0.58285,0.3725,0.8098,0.58673
24,0.13606,0.80901,0.57962,0.25767,0.80575,0.58286,0.37246,0.80979,0.58668
25,0.13586,0.80903,0.57965,0.2577,0.80575,0.58285,0.37241,0.80978,0.58671
26,0.13565,0.80905,0.57967,0.25719,0.80578,0.58297,0.37247,0.80976,0.58678
27,0.13596,0.80906,0.57961,0.25802,0.80587,0.58285,0.37255,0.80987,0.58675
28,0.13577,0.80907,0.57966,0.25805,0.80585,0.58283,0.37247,0.80988,0.58678
29,0.13561,0.80906,0.57966,0.25811,0.80585,0.5828,0.37251,0.80987,0.58677
30,0.13599,0.80906,0.57964,0.25736,0.80579,0.58294,0.37246,0.80989,0.58675
31,0.13579,0.809,0.57967,0.25804,0.80576,0.58284,0.37252,0.8098,0.58668
32,0.13558,0.80896,0.5797,0.25806,0.80575,0.58283,0.37253,0.8098,0.5867
33,0.13586,0.80894,0.57963,0.25812,0.80572,0.58279,0.37243,0.80971,0.58669
34,0.13573,0.80895,0.57969,0.25815,0.80576,0.58279,0.37236,0.80973,0.58682
35,0.13552,0.80896,0.57972,0.25709,0.80573,0.58298,0.37238,0.80973,0.58681
36,0.13582,0.80902,0.5797,0.25771,0.80584,0.58288,0.37238,0.8098,0.58677
37,0.1356,0.809,0.57972,0.25772,0.80582,0.58285,0.37236,0.8098,0.58675
38,0.13538,0.80897,0.57973,0.25775,0.80577,0.58284,0.37237,0.8098,0.58673
39,0.13604,0.80901,0.57968,0.25796,0.80576,0.58287,0.37246,0.80981,0.58676
40,0.13585,0.80897,0.57972,0.25796,0.80579,0.58288,0.37241,0.80976,0.58679
41,0.1357,0.80898,0.57975,0.25798,0.80577,0.58291,0.37242,0.80976,0.58679
42,0.13593,0.80898,0.57972,0.2579,0.80578,0.58289,0.37246,0.80981,0.58671
43,0.13572,0.80898,0.57973,0.25791,0.80581,0.58289,0.37247,0.80977,0.58672
44,0.13551,0.809,0.57976,0.25795,0.80576,0.58285,0.37248,0.80971,0.58669
45,0.13588,0.80904,0.57971,0.25756,0.80571,0.58291,0.37245,0.80966,0.58668
46,0.13573,0.80903,0.57975,0.25756,0.80573,0.58295,0.37249,0.80972,0.58666
47,0.1355,0.80905,0.57977,0.25756,0.80577,0.58297,0.37248,0.80971,0.58669
48,0.13594,0.80906,0.57974,0.25698,0.8057,0.58308,0.37258,0.80972,0.58677
49,0.13573,0.80902,0.57974,0.25766,0.80574,0.58296,0.37261,0.80969,0.5867
50,0.13559,0.80903,0.57975,0.25767,0.80569,0.58297,0.37261,0.80973,0.58667
51,0.13599,0.80903,0.57967,0.2578,0.80575,0.58295,0.37269,0.80981,0.58662
52,0.13578,0.80902,0.57968,0.25781,0.80575,0.58293,0.37265,0.80981,0.5867
53,0.13558,0.809,0.57971,0.25781,0.80578,0.58293,0.37269,0.80977,0.5867
54,0.13589,0.80898,0.57963,0.25718,0.80572,0.58297,0.37267,0.80976,0.58662
55,0.13575,0.80898,0.57962,0.25776,0.80575,0.58287,0.3726,0.80977,0.58665
56,0.13554,0.80897,0.57966,0.2578,0.80575,0.58289,0.37265,0.80974,0.58663
57,0.1359,0.80897,0.57959,0.2579,0.80577,0.58284,0.37269,0.80977,0.58661
58,0.13571,0.80896,0.57963,0.25792,0.80573,0.58284,0.37264,0.80977,0.58673
59,0.1355,0.80899,0.57968,0.25795,0.80569,0.58286,0.37272,0.80972,0.58672
60,0.136,0.80899,0.57962,0.25786,0.80569,0.5829,0.37272,0.80972,0.5867
61,0.13581,0.80899,0.57967,0.25788,0.80568,0.5829,0.37273,0.80973,0.58672
62,0.1356,0.809,0.57971,0.25788,0.80569,0.5829,0.37269,0.80977,0.58673
63,0.13592,0.80899,0.57968,0.25795,0.80564,0.58292,0.37269,0.80972,0.58672
64,0.13576,0.80897,0.57971,0.25797,0.80564,0.58289,0.37265,0.80972,0.58674
65,0.13554,0.809,0.57975,0.25743,0.80564,0.58299,0.37259,0.80979,0.58676
66,0.13588,0.80907,0.57972,0.25801,0.80571,0.58289,0.37254,0.80985,0.58675
67,0.13568,0.80898,0.57973,0.25805,0.80567,0.58286,0.37244,0.8098,0.58677
68,0.13549,0.80892,0.57977,0.25736,0.80551,0.58299,0.37247,0.80972,0.58677
69,0.13605,0.80893,0.57973,0.25802,0.80551,0.58296,0.37248,0.80966,0.58681
70,0.13591,0.80891,0.57977,0.25804,0.80556,0.58299,0.3726,0.80959,0.5868
71,0.13636,0.80899,0.57977,0.25752,0.80559,0.5831,0.3726,0.80966,0.58684
72,0.13628,0.80902,0.57978,0.25806,0.80573,0.58301,0.3726,0.80979,0.58683
73,0.13597,0.80902,0.57978,0.25807,0.80576,0.58296,0.37261,0.80981,0.58674
74,0.13643,0.80908,0.57966,0.25742,0.80573,0.58303,0.37269,0.80979,0.58672
75,0.13629,0.80909,0.57963,0.25804,0.80578,0.58288,0.37273,0.80977,0.58667
76,0.13607,0.80907,0.57972,0.25811,0.8058,0.58289,0.37269,0.80977,0.58673
77,0.13593,0.80905,0.57974,0.25726,0.80574,0.58307,0.37268,0.80973,0.58676
78,0.13629,0.80898,0.5797,0.25778,0.80574,0.583,0.37275,0.80977,0.58678
79,0.13608,0.80889,0.57972,0.25781,0.80563,0.58299,0.37283,0.80958,0.58675
80,0.13594,0.80887,0.57971,0.25707,0.80551,0.58307,0.37284,0.80953,0.58669
81,0.13615,0.80889,0.57966,0.25769,0.80556,0.58295,0.37281,0.8095,0.58669
82,0.13598,0.80893,0.57969,0.25771,0.80566,0.58291,0.37272,0.80967,0.58669
83,0.1363,0.80899,0.57964,0.25723,0.80569,0.58295,0.3727,0.80974,0.58668
